cnpj;razao_social;data_autorizacao;prefixo;descricao_linha;tipo_veiculo;sentido;horario;segunda_feira;terca_feira;quarta_feira;quinta_feira;sexta_feira;sabado;domingo;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0002-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITมRIO;ida;18:30;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0002-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITมRIO;volta;18:30;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;18:30;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;18:30;x;;x;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0003-00;MANAUS(AM) - BONFIM(RR);CONVEN. C/ SANITมRIO;ida;18:30;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0003-00;MANAUS(AM) - BONFIM(RR);CONVEN. C/ SANITมRIO;volta;16:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/05/2017;01-0011-00;APUI(AM) - PORTO VELHO(RO);CONVEN. C/ SANITมRIO;ida;15:00;x;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/05/2017;01-0011-00;APUI(AM) - PORTO VELHO(RO);CONVEN. C/ SANITมRIO;volta;19:30;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;07/12/2020;01-0016-00;MANAUS(AM) - PORTO VELHO(RO);CONVEN. C/ SANITมRIO;ida;09:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;07/12/2020;01-0016-00;MANAUS(AM) - PORTO VELHO(RO);CONVEN. C/ SANITมRIO;ida;17:30;;x;;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;07/12/2020;01-0016-00;MANAUS(AM) - PORTO VELHO(RO);CONVEN. C/ SANITมRIO;volta;09:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;07/12/2020;01-0016-00;MANAUS(AM) - PORTO VELHO(RO);CONVEN. C/ SANITมRIO;volta;18:00;;x;;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/12/2020;22-0020-00;JI-PARANA(RO) - APUI(AM);CONVEN. C/ SANITมRIO;ida;11:00;;;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/12/2020;22-0020-00;JI-PARANA(RO) - APUI(AM);CONVEN. C/ SANITมRIO;volta;15:00;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;17/12/2020;22-0021-00;PORTO VELHO(RO) - HUMAITA(AM);CONVEN. C/ SANITมRIO;ida;07:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;17/12/2020;22-0021-00;PORTO VELHO(RO) - HUMAITA(AM);CONVEN. C/ SANITมRIO;volta;14:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-00;PORTO VELHO(RO) - RIO BRANCO(AC);CONVEN. C/ SANITมRIO;ida;08:00;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-00;PORTO VELHO(RO) - RIO BRANCO(AC);CONVEN. C/ SANITมRIO;ida;22:00;;;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-00;PORTO VELHO(RO) - RIO BRANCO(AC);CONVEN. C/ SANITมRIO;volta;08:00;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-00;PORTO VELHO(RO) - RIO BRANCO(AC);CONVEN. C/ SANITมRIO;volta;20:00;;;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-31;PORTO VELHO(RO) - RIO BRANCO(AC);SEMI-LEITO;ida;22:00;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-31;PORTO VELHO(RO) - RIO BRANCO(AC);SEMI-LEITO;volta;20:00;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-41;PORTO VELHO(RO) - RIO BRANCO(AC);LEITO COM AR;ida;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;16/12/2020;22-0029-41;PORTO VELHO(RO) - RIO BRANCO(AC);LEITO COM AR;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;09/08/2022;22-0029-61;PORTO VELHO(RO) - RIO BRANCO(AC);EXECUTIVO;ida;08:00;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;09/08/2022;22-0029-61;PORTO VELHO(RO) - RIO BRANCO(AC);EXECUTIVO;volta;08:00;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/10/2020;22-9022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITมRIO;ida;07:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/10/2020;22-9022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITมRIO;ida;21:30;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/10/2020;22-9022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITมRIO;volta;07:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;10/10/2020;22-9022-00;PORTO VELHO(RO) - LABREA(AM);CONVEN. C/ SANITมRIO;volta;19:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;08/07/2016;12-9621-00;GOIANIA(GO) - ARAGUACU(TO);CONVEN. C/ SANITมRIO;ida;21:00;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;08/07/2016;12-9621-00;GOIANIA(GO) - ARAGUACU(TO);CONVEN. C/ SANITมRIO;volta;20:45;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;01/12/2022;12-9621-41;GOIANIA(GO) - ARAGUACU(TO);LEITO COM AR;ida;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;01/12/2022;12-9621-41;GOIANIA(GO) - ARAGUACU(TO);LEITO COM AR;volta;19:45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;ida;21:00;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;ida;22:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;volta;19:45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
02.729.226/0001-53;ARAGUATUR VIAGENS E TURISMO EIRELI ME;30/06/2020;12-9621-61;GOIANIA(GO) - ARAGUACU(TO);EXECUTIVO;volta;20:45;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITมRIO;ida;19:00;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITมRIO;volta;19:00;x;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;19:00;;x;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;19:00;;x;;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;19:00;x;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;20:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;19:00;x;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;20:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;01/07/2016;01-0000-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;18/09/2020;01-0000-51;MANAUS(AM) - BOA VISTA(RR);CAMA;ida;20:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;18/09/2020;01-0000-51;MANAUS(AM) - BOA VISTA(RR);CAMA;volta;20:00;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;24/03/2021;01-0020-00;PACARAIMA(RR) - MANAUS(AM);CONVEN. C/ SANITมRIO;ida;13:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;24/03/2021;01-0020-00;PACARAIMA(RR) - MANAUS(AM);CONVEN. C/ SANITมRIO;volta;19:00;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;27/04/2021;01-0020-31;PACARAIMA(RR) - MANAUS(AM);SEMI-LEITO;ida;13:30;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;27/04/2021;01-0020-31;PACARAIMA(RR) - MANAUS(AM);SEMI-LEITO;volta;19:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;26/04/2021;01-0020-41;PACARAIMA(RR) - MANAUS(AM);LEITO COM AR;ida;13:30;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
04.693.576/0001-32;ASATUR TURISMO LTDA. EPP;26/04/2021;01-0020-41;PACARAIMA(RR) - MANAUS(AM);LEITO COM AR;volta;19:00;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);05/11/2022;06-0557-00;BELO HORIZONTE(MG) - OSASCO(SP);CONVEN. C/ SANITมRIO;ida;20:45;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);05/11/2022;06-0557-00;BELO HORIZONTE(MG) - OSASCO(SP);CONVEN. C/ SANITมRIO;volta;20:15;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);11/06/2023;06-0557-31;BELO HORIZONTE(MG) - OSASCO(SP);SEMI-LEITO;ida;20:45;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);11/06/2023;06-0557-31;BELO HORIZONTE(MG) - OSASCO(SP);SEMI-LEITO;volta;20:15;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);01/09/2023;06-0557-41;BELO HORIZONTE(MG) - OSASCO(SP);LEITO COM AR;ida;20:45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);01/09/2023;06-0557-41;BELO HORIZONTE(MG) - OSASCO(SP);LEITO COM AR;volta;20:15;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);01/12/2022;06-0559-00;POUSO ALEGRE(MG) - OSASCO(SP);CONVEN. C/ SANITมRIO;ida;07:00;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);01/12/2022;06-0559-00;POUSO ALEGRE(MG) - OSASCO(SP);CONVEN. C/ SANITมRIO;volta;18:00;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);06/11/2020;21-0040-00;TOBIAS BARRETO(SE) - OSASCO(SP);CONVEN. C/ SANITมRIO;ida;16:30;;x;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);06/11/2020;21-0040-00;TOBIAS BARRETO(SE) - OSASCO(SP);CONVEN. C/ SANITมRIO;volta;07:45;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);12/08/2023;21-0040-31;TOBIAS BARRETO(SE) - OSASCO(SP);SEMI-LEITO;ida;05:00;;x;;;;;;;;;;;;;;x;;;
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);12/08/2023;21-0040-31;TOBIAS BARRETO(SE) - OSASCO(SP);SEMI-LEITO;volta;07:45;;;;;;x;;;;;;;;;;x;;;
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);12/08/2023;21-0040-41;TOBIAS BARRETO(SE) - OSASCO(SP);LEITO COM AR;ida;05:00;;x;;;;;;x;x;x;x;x;x;x;x;x;;;
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);12/08/2023;21-0040-41;TOBIAS BARRETO(SE) - OSASCO(SP);LEITO COM AR;ida;16:30;;x;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);12/08/2023;21-0040-41;TOBIAS BARRETO(SE) - OSASCO(SP);LEITO COM AR;volta;07:45;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);04/04/2022;21-0040-61;TOBIAS BARRETO(SE) - OSASCO(SP);EXECUTIVO;ida;05:00;;x;;;;;;;;;;;;x;;;;;
05.108.552/0001-31;AUGE TRANSPORTE RODOVIมRIO LTDA.(RICCO TRANSPORTES);04/04/2022;21-0040-61;TOBIAS BARRETO(SE) - OSASCO(SP);EXECUTIVO;volta;06:00;;x;;;;;;;;;;;;x;;;;;
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0329-00;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);CONVEN. C/ SANITมRIO;ida;10:00;;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0329-00;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);CONVEN. C/ SANITมRIO;volta;14:00;;x;x;x;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0329-61;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);EXECUTIVO;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0329-61;GOVERNADOR VALADARES(MG) - CAMPOS DOS GOYTACAZES(RJ);EXECUTIVO;volta;21:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITมRIO;ida;03:20;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITมRIO;ida;21:44;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITมRIO;volta;15:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITมRIO;volta;21:20;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;ida;03:21;x;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;ida;12:09;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;volta;06:00;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0331-31;PIRAPETINGA(MG) - ITAPERUNA(RJ);SEMI-LEITO;volta;23:00;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;ida;03:21;x;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;ida;12:09;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;volta;06:00;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;19/12/2019;06-0331-41;PIRAPETINGA(MG) - ITAPERUNA(RJ);LEITO COM AR;volta;23:00;x;;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;01:07;x;x;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;03:10;;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;18:14;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;20:14;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;ida;22:15;;;;;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;08:00;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;10:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;13:00;x;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;21:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;21:50;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;22:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;03/02/2018;06-0331-61;PIRAPETINGA(MG) - ITAPERUNA(RJ);EXECUTIVO;volta;23:30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
30.069.314/0001-01;AUTO VIAวรO 1001 LTDA.;08/07/2016;06-0332-00;PIRAPETINGA(MG) - ITAPERUNA(RJ);CONVEN. C/ SANITมRIO;ida;01:27;;;x;;;;;x;x;x;x;x;x;x;x;x;x;x;x
